code,district,name,street,city,zip_code,email,abbreviation
017050332,105,SOŠ technická,Vranovská 4,Bratislava-Petržalka,85102,souvrano@isternet.sk,SVran4BA
000162311,107,SOŠ vinársko-ovocinár.,Kostolná 3,Modra,90001,info@svosmo.sk,SKost3PK
000162787,107,SOŠ pedagogická,Sokolská 6,Modra,90001,paka@pakamo.sk,SSoko6PK
000351822,107,SOŠ podnikania a služie,Myslenická 1,Pezinok,90201,sekretariat@soskompk.sk,SMysl1PK
031874452,107,Obchodná akadémia,Myslenická 1,Pezinok,90203,zastupca@oapk.sk,OMysl1PK
042128919,108,Spojená škola,ul. SNP 30,Ivanka pri Dunaji,90028,spojs@nextra.sk,SulS30SC
710274181,108,SŠ - SOŠ záhradnícka,Bratislavská 44,Malinovo,90045,zahradnicka.malinovo@gmail.com,SBra44SC
036064386,108,SOŠ automobilová a podn,Kysucká 14,Senec,90301,zdruzena@centrum.sk,SKys14SC
000351831,201,SOŠ stavebná,Gyulu Szabóa 1,Dunajská Streda,92901,sosstavds@zupa-tt.sk,SGyul1DS
000654299,201,Stredná odborná škola,Gyulu Szabóa 21,Dunajská Streda,92901,info@sosds.sk,SGyu21DS
051895951,201,Súkr. SOŠ ADVENTIM,Komenského ulica 1219/1,Dunajská Streda,92901,riaditelka.adventim@gmail.com,SKome1DS
000891649,201,SOŠ technická,Kračanská cesta 1240/36,Dunajská Streda,92901,soustroj.ds@zupa-tt.sk,SKra36DS
037839403,201,Súkromná SOŠ s VJM,Neratovické nám. 1916/16,Dunajská Streda,92901,skolads@skolads.sk,SNer16DS
000162329,201,SOŠ rozv.vidieka s VJM,Nám. sv. Štefana 1533/3,Dunajská Streda,92938,dunagro@zupa-tt.sk,SNams3DS
000607312,201,Str. zdravot. škola,Športová 349/34,Dunajská Streda,92901,szsds@zoznam.sk,SSpo34DS
000044351,201,Obchodná akadémia,Bratislavská 38,Veľký Meder,93201,oagvm@oagvm.sk,OBra38DS
037839594,201,Súkromná SOŠ,Trhovisko 776/1,Zlaté Klasy,93039,info@sous-zlateklasy.sk,STrho1DS
000686476,201,Súkr. SOŠ SD Jednota,Vinohradská 48,Šamorín,93101,sekretariat@hasossamorin.edu.sk,SVin48DS
036082040,201,Súkr. HA SD Jednota,Vinohradská 48,Šamorín,93101,sekretariat@hasossamorin.edu.sk,SVin48DS
000158984,202,SOŠ technická,Esterházyovcov 712/10,Galanta,92434,skola@sostechga.edu.sk,SEst10GA
000351873,202,SOŠ obchodu a služieb,Z. Kodálya 765,Galanta,92447,sosga@sosga.sk,SZK765GA
011882115,202,Súkromná SOŠ,Mostová 53,Mostová,92507,ssoum@stonline.sk,SMos53GA
000400238,202,Obchodná akadémia,Mládežnícka 158/5,Sereď,92601,oasered@oasered.sk,OMlad5GA
037841700,202,Súkromná SOŠ,Fučíkova 426,Sládkovičovo,92521,takacsatti@hotmail.com,SFu426GA
017050324,203,SOŠ technická,F. Lipku 2422/5,Hlohovec,92001,sosthc@zupa-tt.sk,SFLip5HC
017053811,203,Stredná odborná škola,Nerudova 13,Hlohovec,92001,zss.hlohovec@zupa-tt.sk,SNer13HC
031825061,203,Obchodná akadémia,Tehelná 4,Hlohovec,92001,oahc@zupa-tt.sk,OTehe4HC
000162442,204,SOŠ záhradnícka,Brezová 2,Piešťany,92177,szaspn@svspn.sk,SBrez2PN
000161454,204,SPŠ elektrotechnická,Brezová 2,Piešťany,92177,skola@spsepn.edu.sk,SBrez2PN
000654302,204,SOŠ obchodu a služieb,Mojmírova 99/28,Piešťany,92101,zssmojmir@zupa-tt.sk,SMoj28PN
000891568,204,SOŠ technická,Nová 5245/9,Piešťany,92101,sekretariat@sostpn.sk,SNova9PN
000162019,204,Hotelová akadémia,Stromová 34,Piešťany,92101,hotelakad@zupa-tt.sk,HStr34PN
000159174,204,Stredná odborná škola,Rakovice 25,Rakovice,92208,sos.rakovice@zupa-tt.sk,SRak25PN
000400220,205,Obchodná akadémia,Dlhá 256/10,Senica,90580,oasenica@oase.edu.sk,ODlh10SE
036087947,205,Súkr. SOŠ podnikania,Hollého 1380,Senica,90501,ssspsenica@ssspsenica.sk,SHolleSE
000351997,205,Stredná odborná škola,V. P. Tótha 31,Senica,90501,sossenica@sossenica.sk,SVPT31SE
017050456,206,SOŠ elektrotechnická,Učňovská 700/6,Gbely,90845,sougbely@zupa-tt.sk,SUcno6SI
000162400,206,Stredná odborná škola,Bernolákova 383/10,Holíč,90851,sekretariat@cabelkovci.sk,SBer10SI
000159115,206,Stredná odborná škola,Nám. sv. Martina 5,Holíč,90851,sekretariat@sosholic.sk,SNams5SI
000607347,206,Str. zdravot. škola,Lichardova 1,Skalica,90901,szsskalica@zupa-tt.sk,SLich1SI
036088978,206,Súkr. SOŠ VIA HUMANA,Mallého 2,Skalica,90901,sekretariat@viahumana.sk,SMall2SI
000893137,206,SOŠ strojnícka,Pplk. Pľjušťa 29,Skalica,90901,zss.skalica@zupa-tt.sk,SPpl29SI
017053676,207,SOŠ automobilová,Coburgova 7859/39,Trnava,91702,sekretariat@sosatt.sk,SCob39TT
000607371,207,Str. zdravot. škola,Daxnerova 6,Trnava,91792,szstt@zupa-tt.sk,SDaxn6TT
000686484,207,Súkr. SOŠ Gos-Sk,Ferka Urbánka 19,Trnava,91810,sekretariat@ssoutt.sk,SFer19TT
031825451,207,SOŠ ped. bl.Laury,Jána Hollého 9,Trnava,91701,vesela@pasa.sk,SJana9TT
036082058,207,SPŠ,Komenského 1,Trnava,91731,sps@spstt.sk,SKome1TT
017055237,207,Súkr. SOŠ DSA,Koniarekova 17,Trnava,91850,souztt@centrum.sk,SKon17TT
000162001,207,Obchodná akadémia,Kukučínova 2,Trnava,91729,sekretariat@oakuktt.sk,OKuku2TT
000893412,207,SOŠ obchodu a služieb,Lomonosovova 2797/6,Trnava,91854,biskorovajna@ttx-net.sk,SLomo6TT
000399817,207,SPŠ stavebná,Lomonosovova 7,Trnava,91708,sekretariat@spslomontt.sk,SLomo7TT
017055385,207,SOŠ elektrotechnická,Sibírska 1,Trnava,91701,sose-trnava@zupa-tt.sk,SSibi1TT
000162451,207,SOŠ poľn. a služ. na v.,Zavarská 9,Trnava,91728,spostt@zupa-tt.sk,SZava9TT
000491861,207,SPŠ dopravná,Študentská 23,Trnava,91745,spsdtt@stonline.sk,SStu23TT
052089291,301,Cirk. SOŠ sv. Terézie z,Farská 5,Bánovce nad Bebravou,95704,cirkevnaskolabn@gmail.com,CFars5BN
037922459,301,Stredná odborná škola s,Partizánska cesta 76,Bánovce nad Bebravou,95701,spsbn@pbi.sk,SPar76BN
042026393,302,Stredná odborná škola,Bratislavská 439/18,Dubnica nad Váhom,01841,riaditel@sosdca.tsk.sk,SBra18IL
000161586,302,Stred.priemyselná škola,Obrancov mieru 343/1,Dubnica nad Váhom,01841,spsdub@spsdub.sk,SObra1IL
000159298,302,Stredná odborná škola,Pruské 294,Pruské,01852,info@sospruske.sk,SPr294IL
000161381,303,Stred.priemyselná škola,SNP 413/8,Myjava,90701,info@spsmy.tsk.sk,SSNP48MY
000161403,304,Stredná priemyselná ško,Bzinská 11,Nové Mesto nad Váhom,91501,zsps@spsnmnv.sk,SBzi11NM
000893111,304,SOŠ obchodu a služieb,Piešťanská 2262/80,Nové Mesto nad Váhom,91501,sekretariat@prvasosnmnv.sk,SPie80NM
000893188,304,Stredná odborná škola,Športová 675,Stará Turá,91601,milan.duroska@sosst.tsk.sk,SSp675NM
050424891,305,SOŠ J.A.B.,Námestie SNP 5,Partizánske,95823,katarina.hartmannova@spspart.sk,SName5PE
000162086,306,Obchodná akadémia,Jesenského 259/6,Považská Bystrica,01744,sekretariat@oapb.sk,OJese6PB
042142768,306,Súkromná hotel.akadémia,M. R. Štefánika 148/27,Považská Bystrica,01701,zivena.skola@centrum.sk,SMRS27PB
042142750,306,Súkromná OA,M. R. Štefánika 148/27,Považská Bystrica,01701,zivena.skola@centrum.sk,SMRS27PB
042141443,306,Stredná odborná škola,Slov. partizánov 1129/49,Považská Bystrica,01701,info@sospb.sk,SSlo49PB
000161594,306,Stred.priemyselná škola,Slov. partizánov 1132/52,Považská Bystrica,01701,riaditel@spspb.edu.sk,SSlo52PB
000607002,306,Stredná zdravot. škola,Školská 230,Považská Bystrica,01701,info@szspb.tsk.sk,SSk230PB
017050561,306,SOŠ strojnícka,Športovcov 341/2,Považská Bystrica,01749,sekretariat@sosjpb.sk,SSpor2PB
042024471,307,Stredná odborná škola,Lipová 8,Handlová,97251,sekretariat@zssha.edu.sk,SLipo8PD
052375277,307,SOŠ,Rastislavova 332,Nováky,97271,info@sosnovaky.sk,SRa332PD
042378699,307,Súkromná OA,Bakalárska 2,Prievidza,97101,avprievidza@gmail.com,SBaka2PD
000162094,307,Obchodná akadémia,F. Madvu 2,Prievidza,97129,info@oapd.tsk.sk,OFMad2PD
000158577,307,SOŠ obchodu a služieb,Nábr. J. Kalinčiaka 1,Prievidza,97101,info@kalina.tsk.sk,SNabr1PD
042026407,307,Stredná odborná škola,T. Vansovej 32,Prievidza,97101,stavpd@stavpd.sk,STVa32PD
052164284,307,SZŠ,Vinohradnícka 8,Prievidza,97158,gymhandl@gymnovha.edu.sk,SVino8PD
052439585,308,Spoj.šk.,I.Krasku 491,Púchov,02001,info@sospuchov.sk,SIK491PU
000158569,308,SOŠ obchodu a sližieb,Ul. 1. mája 1264,Púchov,02029,info@sosospu.sk,SUl1maPU
042014891,309,SOŠP sv.A-S a B,1. mája 7,Trenčín,91101,zunladni@zsasbtn.sk,S1maj7TN
000351806,309,SOŠ obchodu a služieb,Jilemnického 24,Trenčín,91250,info@sosostn.sk,SJil24TN
017638593,309,SOŠ letecko-technická,Legionárska 160,Trenčín,91104,ucebna.soslt@gmail.com,SLe160TN
000161993,309,OA Milana Hodžu,Martina Rázusa 1,Trenčín,91129,info@oa-tn.sk,OMart1TN
017053668,309,Stredná odborná škola,Pod Sokolice 14,Trenčín,91101,sostn@sostn.sk,SPod14TN
037922467,309,SPŠ stavebná E.B.,Staničná 4,Trenčín,91105,sekretariattn@sosstn.sk,SStan4TN
000161438,309,Škola umeleckého priemy,Staničná 8,Trenčín,91105,sustn@zoznam.sk,ŠStan8TN
042019427,309,Súkromná SOŠ,Ul.gen.M.R.Štefánika 379,Trenčín,91101,ssos.tn@centrum.sk,SUl379TN
000607363,309,Stredná zdravot. škola,Veľkomoravská 14,Trenčín,91167,szstn@szstn.sk,SVel14TN
017055202,309,Dopravná akadémia,Školská 66,Trenčín,91250,sekretariat@dopravnaakademia.sk,DSko66TN
042428289,401,Súkr. SOŠ obch. a služ.,Hlavné námestie 35,Bátorove Kosihy,94634,ssos.bk@gmail.com,SHla35KN
000159026,401,SOŠ tech.- Szakközép,1. mája 1,Hurbanovo,94701,souphu@souphu.edu.sk,S1maj1KN
000044717,401,SPŠ stavebná,Konkolyho 8,Hurbanovo,94701,tots@spsstav.sk,SKonk8KN
037966081,401,Súkromná SOŠ s VJM,Slovenská 52,Kolárovo,94603,schola.privata@stonline.sk,SSlo52KN
000891592,401,Stredná odborná škola,Bratislavská cesta 10,Komárno,94525,soskn@soskn.sk,SBra10KN
000352233,401,SOŠ obchodu a služieb,Budovateľská 32,Komárno,94501,zssoskn@centrum.sk,SBud32KN
000161357,401,SPŠ strojnícka - Gép. E,Petőfiho 2,Komárno,94550,office@spskn.sk,SPeto2KN
000159042,401,"SOŠ obch., služ. a rozv",Dunajský rad 138,Kravany nad Dunajom,94636,sos@sos-kravany.sk,SDu138KN
000420191,402,SPŠ strojnícka a elektr,F. Hečku 25,Levice,93447,riaditel@spslevice.sk,SFHe25LV
000161934,402,Obchodná akadémia,Kálmána Kittenbergera 2,Levice,93440,oalevicekk2@gmail.com,OKalm2LV
000162353,402,SOŠ poľn. a služ.,Na lúkach 18,Levice,93403,sospasvlevice@gmail.com,SNal18LV
000893315,402,SOŠ techniky a služieb,Pod amfiteátrom 7,Levice,93401,sospodamfiteatrom@gmail.com,SPoda7LV
000352098,402,SOŠ služieb,Sv. Michala 36,Levice,93480,sekretariat@soslevice.sk,SSvM36LV
000162795,402,SOŠ pedagogická,Ul. F. Engelsa 3,Levice,93429,skola@sospglevice.sk,SUlFE3LV
017053889,402,Šk. umelec. priem. L. B,Vajanského 23,Levice,93403,suslbielika@mail.t-com.sk,ŠVaj23LV
017050308,402,SOŠ technická,Kozmálovská cesta 9,Tlmače,93528,skola@sostlmace.sk,SKozm9LV
000399388,402,SOŠ techn. a služ. - Mű,Slov.národ.povstania 41,Šahy,93601,zss@zsssahy.edu.sk,SSlo41LV
037858131,403,Súkromná SOŠ s VJM,Dolné Obdokovce 71,Dolné Obdokovce,95102,sssp@mail.t-com.sk,SDol71NR
000161942,403,Obchodná akadémia,Bolečkova 2,Nitra,95050,oanitra@slovanet.sk,OBole2NR
000161373,403,SPŠ stavebná,Cabajská 4,Nitra,95050,info@spssnr.sk,SCaba4NR
017054222,403,SOŠ potravinárska,Cabajská 6,Nitra,94901,sosp@sosp.sk,SCaba6NR
000596868,403,SOŠ techniky a služieb,Cintorínska 4,Nitra,95050,soscintorinska4nr@gmail.com,SCint4NR
000162370,403,SOŠ veterinárna,Drážovská 8/14,Nitra,95012,sosvetnr@sosvetnr.sk,SDra14NR
000607321,403,Stredná zdravot. škola,Farská 23,Nitra,95050,sekretariat@szsnitra.sk,SFar23NR
017050073,403,Stredná priem. škola SE,Fraňa Kráľa 20,Nitra,94901,skola@spskralanr.edu.sk,SFra20NR
000596876,403,SOŠ gastr. a cest. ruch,Levická 40,Nitra,95003,sosnrlev@mail.t-com.sk,SLev40NR
037854950,403,Súkromná SOŠ ANIMUS,Levická cesta 40,Nitra,94901,nitra@animus.sk,SLev40NR
042114985,403,súkr. SOŠ polytechnická,Novozámocká 220,Nitra,94905,ptechskola@mail.t-com.sk,sNo220NR
000893293,403,SOŠ stavebná,Nábrežie mládeže 1,Nitra,95028,sousnr@mail.viapvt.sk,SNabr1NR
042124956,403,Súkr. šk. umelec. priem,Samova 14,Nitra,94911,info@ssusnitra.sk,SSam14NR
000161365,403,Spojená škola,Slančíkovej 2,Nitra,95050,skola@spsnr.edu.sk,SSlan2NR
000891550,403,Stred. odbor. šk. techn,Ul. 1. mája 500,Vráble,95201,sost-vrable@sost-vrable.sk,SUl500NR
000654230,404,SOŠ dopr. služ.,Jesenského 1,Nové Zámky,94062,sou@soujesnz.sk,SJese1NZ
000012432,404,Spojená škola,Komárňanská 28,Nové Zámky,94075,skola@spsenz.sk,SKom28NZ
000893421,404,Stred. odb.šk. stavebná,Nitrianska cesta 61,Nové Zámky,94001,skola@nzstav.sk,SNit61NZ
000607339,404,Stredná zdravot. škola,Pod kalváriou 1,Nové Zámky,94001,zdravsk@gmail.com,SPodk1NZ
000891606,404,SOŠ hotel.služ. a obch.,Zdravotnícka 3,Nové Zámky,94051,skola@hosnz.sk,SZdra3NZ
037853163,404,Súkr. spoj. šk.,Sv. Štefana 36,Štúrovo,94301,soa@1soa-sturovo.sk,SSvS36NZ
000891908,404,SOŠ - techniky,Svätého Štefana 81,Štúrovo,94303,skola@soupst.sk,SSva81NZ
042114977,404,SOŠ gastr. a služ.,Hviezdoslavova 55,Šurany,94201,zss-surany@mail.t-com.sk,SHvi55NZ
017050316,404,SOŠ technická,Nitrianska 61,Šurany,94201,soustrojar@stonline.sk,SNit61NZ
000161951,404,Obchodná akadémia,Nám. hrdinov 7,Šurany,94201,sekretariat@oasurany.sk,ONamh7NZ
031873715,405,Spojená škola,Nivy 2,Šaľa,92705,sps@salamon.sk,SNivy2SA
000159000,405,SOŠ chovu koní - Lóteny,Štúrova 74,Šaľa,92701,soupsala@gmail.com,SStu74SA
000607355,406,Stredná zdravot. škola,17. novembra 1056,Topoľčany,95501,szsinfo@vdpto.sk,S17novTO
042120411,406,Súkr.škola úžit.výtvar.,Gagarinova 2490/13,Topoľčany,95501,ssuv@ssuv.sk,SGag13TO
000159841,406,Obchodná akadémia,Inovecká 2041,Topoľčany,95594,mail@oato.edu.sk,OInoveTO
017054249,406,SOŠ potravinárska,Krušovská 2091,Topoľčany,95501,riaditel@soskruto.edu.sk,SKrusoTO
000891860,406,SOŠ drevárska,Pílska 7,Topoľčany,95501,sekretariat@sosdrevarska.sk,SPils7TO
000893480,406,SOŠ obchodu a služieb,T. Vansovej 2,Topoľčany,95501,sosoasto@sosoasto.sk,STVan2TO
000351989,406,SOŠ techniky a služieb,Tovarnícka 1609,Topoľčany,95582,souto@nextra.sk,STovarTO
000398411,406,SOŠ agrotechnická,Tovarnícka 1632,Topoľčany,95529,robert.caniga@sosagro.sk,STovarTO
037853899,406,Súkromná SOŠ pedagog.,Tovarnícka 1641,Topoľčany,95501,ssosto@gmail.com,STovarTO
034005153,407,Obchodná akadémia,Bernolákova 26,Zlaté Moravce,95320,oa.zmoravce@gmail.com,OBer26ZM
000893498,407,SOŠ obchodu a služieb,Slov.národ.povstania 5,Zlaté Moravce,95301,strodnto@doszm.edu.sk,SSlov5ZM
000893129,407,SOŠ technická,Ul. 1. mája 22,Zlaté Moravce,95301,soustrzm@nextra.sk,SUl122ZM
000159093,407,Stredná odborná škola,Ul. SNP 2,Zlaté Moravce,95330,soszm@soszm.sk,SUlSN2ZM
042071585,501,Súkromná SOŠ,Sidónie Sakalovej 182,Bytča,01438,skola@sukromnasos.sk,SSi182BY
000891835,502,SOŠ drevárska,Krásno nad Kysucou č.1642,Krásno nad Kysucou,02302,sosdskrasno@sosdskrasno.sk,SKrasnCA
000162043,502,Obchodná akadémia,17. novembra 2701,Čadca,02201,sekretariat@oadmj.sk,O17novCA
000614866,502,SOŠ pedag.sv. M. Gorett,Horná 137,Čadca,02201,skola@pasaca.edu.sk,SHo137CA
017059852,502,Stredná zdrav. škola,Horná 137,Čadca,02201,skola@szsfaca.edu.sk,SHo137CA
000891452,502,SOŠ technická,Okružná 693,Čadca,02201,info@sostca.sk,SOk693CA
000695041,502,SOŠ obchodu a služieb,Ul. 17. novembra 2579,Čadca,02201,riaditel@sosca.sk,SUl17nCA
000891479,503,SOŠ polytechnická,Jelšavská 404,Dolný Kubín,02601,sekretariat@sospknazia.sk,SJe404DK
000607045,503,Stredná zdrav. škola,M. Hattalu 2149,Dolný Kubín,02601,skola@szsdk.sk,SMHattDK
000158518,503,Stredná odborná škola,Pelhřimovská 1186/10,Dolný Kubín,02680,skola@zssdk.edu.sk,SPel10DK
000162051,503,Obchodná akadémia,Radlinského 1725/55,Dolný Kubín,02636,oadkubin@gmail.com,ORad55DK
042070902,503,Súkromná SOŠ,SNP 1202/14,Dolný Kubín,02601,zastupca@ssousnpdk.edu.sk,SSNP14DK
051906201,504,SPŠ inf. technológií,Nábrežná 1325,Kysucké Nové Mesto,02401,skola@spsknm.sk,SNabreKM
017053722,504,SOŠ strojnícka,Športová 1326,Kysucké Nové Mesto,02401,sossknm@za.psg.sk,SSportKM
000893170,505,SOŠ elektrotechnická,Celiny 536,Liptovský Hrádok,03315,skola@soselh.sk,SCe536LM
000162701,505,SOŠ les. a drev. J.D.M.,Hradná 534,Liptovský Hrádok,03301,slslhr@slslhr.sk,SHr534LM
000491942,505,SOŠ polytechnická,Demänovská cesta 669,Liptovský Mikuláš,03101,sekretariat@polytechnika.sk,SDe669LM
031926754,505,Obchodná akadémia,Nábrežie K.Petroviča 1571,Liptovský Mikuláš,03147,oalm@oalm.eu,ONabreLM
000607037,505,Stredná zdrav. škola,Vrbická 632,Liptovský Mikuláš,03101,sekretariatszslm@vuczilina.sk,SVr632LM
000695092,505,SOŠ stavebná,Školská 8,Liptovský Mikuláš,03145,sosslm@sosslm.sk,SSkol8LM
000893528,505,Hotelová akadémia,Čs. brigády 1804,Liptovský Mikuláš,03101,halm@halm.sk,HCsbriLM
000162078,506,Obchodná akadémia,Bernolákova 2,Martin,03637,siranova@oamt.sk,OBern2MT
000161578,506,SPŠ technická,L. Novomeského 5/24,Martin,03636,office@spsmt.sk,SLNo24MT
000158551,506,SOŠ obchodu a služieb,Stavbárska 11,Martin,03601,zssmt@zssmt.sk,SSta11MT
042347599,506,Súkromná SŠ,Ul. J. Lettrich č. 3,Martin,03601,ssusmartin@ssusmartin.sk,SUlJL3MT
017055211,506,SOŠ dopravná,Zelená 2,Martin,03608,sosdmt@sosd.sk,SZele2MT
017050499,506,Spojená škola,Československej armády 24,Martin,03601,ssmt@vuczilina.sk,SCes24MT
017053846,507,Stredná odborná škola,Hattalova 968/33,Námestovo,02901,sosno@sosno.sk,SHat33NO
017050502,507,SOŠ technická,Komenského 496/37,Námestovo,02901,sousno.sek@mail.t-com.sk,SKom37NO
031897959,507,Spojená škola,Slanická osada 2178,Námestovo,02901,ssou.educono@mail.t-com.sk,SSlaniNO
037908057,508,Súkromná SOŠ podnikania,Bystrická cesta 174/5,Ružomberok,03401,szssdk@centrum.sk,SByst5RK
017059844,508,Stredná zdrav. škola,Dončova 7,Ružomberok,03401,szsmtsrbk@gmail.com,SDonc7RK
030232953,508,Obchodná akadémia,Scota Viatora 4,Ružomberok,03401,oark.mail@gmail.com,OScot4RK
000161551,508,Škola umeleckého priemy,Scota Viatora 6,Ružomberok,03401,skolnikova@suvrk.sk,ŠScot6RK
710261683,508,SOŠOaS pri SŠ,Scota Viatora 8,Ružomberok,03401,riaditel@zssos.sk,SScot8RK
000891894,508,SOŠ polytechnická,Sládkovičova ulica 104,Ružomberok,03401,info@sosprk.sk,SSl104RK
000162817,509,SOŠ pedagogická,SNP 509/116,Turčianske Teplice,03914,sekretariat.sosptr@vuczilina.sk,SSN116TR
017050448,510,Spojená škola,Hattalova 471,Nižná,02743,ssnizna@ssnizna.sk,SHa471TS
000517801,510,SOŠ lesnícka,Medvedzie 135,Tvrdošín,02744,soultv@soultv.sk,SMe135TS
000161519,510,Spojená škola,Sídl. Medvedzie I. 133/1,Tvrdošín,02744,sekretariat@sstv.sk,SSidl1TS
000158615,511,Spojená škola,Hlavná 2,Žilina,01009,skola@sszaby.sk,SHlav2ZA
